Total Number of Vehicles, 11827
Number of Vehicles Larger than 2.2 metres, 66
Number of Vehicles Smaller than 2.2 metres, 644
Number of Vehicles with Unknown Size, 11117
Petrol, 258
Diesel, 484
Hybrid, 0
Electrical, 2
Unknown, 11083
